ACCESSION NUMBER: (WOS:0002213213*)
null
Timespan=All years. Indexes=SCI-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Boll weevil eradication: A model for sea lamprey control?","Smith, JW; Swink, WD","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","445","455","","","","","10","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","2","1","0","0","2","0","0","0","2","0"
"Effects of lampricide exposure on the survival, growth, and behavior of the unionid mussels Elliptio complanata and Pyganadon cataracta","Waller, DL; Bills, TD; Boogaard, MA; Johnson, DA; Doolittle, TCJ","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","542","551","","","","","8","0.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0","0","0","0","0","0","1","0","1"
"Effects of repeated TFM applications on riffle macroinvertebrate communities in four Great Lakes tributaries","Weisser, JW; Adams, JV; Schuldt, RJ; Baldwin, GA; Lavis, DS; Slade, JW; Heinrich, JW","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","552","565","","","","","8","0.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Response of larval sea lampreys (Petromyzon marinus) to pulsed DC electrical stimuli in laboratory experiments","Bowen, AK; Weisser, JW; Bergstedt, RA; Famoye, F","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","174","182","","","","","7","0.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","1","0","2","0","1","0"
"Historical perspective on the development of procedures for conducting on-site toxicity tests and for measuring concentrations of lampricides in the sea lamprey control program during 1957 to 1999","Johnson, DA; Stephens, BE","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","521","528","","","","","7","0.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Classification of lentic habitat for sea lamprey (Petromyzon marinus) larvae using a remote seabed classification device","Fodale, MF; Bronte, CR; Bergstedt, RA; Cuddy, DW; Adams, JV","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","190","203","","","","","6","0.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","2","0","0","0","1","0"
"Biological effect of low-head sea lamprey barriers: Designs for extensive surveys and the value of incorporating intensive process-oriented research","Hayes, DB; Baylis, JR; Carl, LM; Dodd, HR; Goldstein, JD; McLaughlin, RL; Noakes, DLG; Porto, LM","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","373","385","","","","","6","0.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","4","0","0","0","0"
"Evaluation of strategies for the release of male sea lampreys (Petromyzon marinus) in Lake Superior for a proposed sterile-male-release program","Kaye, CA; Heinrich, JW; Hanson, LH; McDonald, RB; Slade, JW; Genovese, JH; Swink, WD","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","424","434","","","","","6","0.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","1","0","0","0","1","0"
"Modeling lampricide transport in the St. Marys River","Shen, HT; Xu, Q; Yapa, PD","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","694","705","","","","","6","0.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"Relation of concentration and exposure time to the efficacy of niclosamide against larval sea lampreys (Petromyzon marinus)","Scholefield, RJ; Bergstedt, RA; Bills, TD","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","493","499","","","","","3","0.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"Future sea lamprey control through regulation of metamorphosis and reproduction: a report from the SLIS II New Science and Control workgroup","Docker, MF; Sower, SA; Youson, JH; Beamish, FWH","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","801","807","","","","","3","0.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0"
"Relative contributions of sampling effort, measuring, and weighing to precision of larval sea lamprey biomass estimates","Slade, JW; Adams, JV; Cuddy, DW; Neave, FB; Sullivan, WP; Young, RJ; Fodale, MF; Jones, ML","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","130","136","","","","","1","0.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
