"","Source","Type","Session","Issue","Action","Vote","Last","First","Party","City","Role","District"
"5.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Nay","Erpenbach","Jon","D","Middleton","Senator",27
"15.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Nay","Lassa","Julie","D","Stevens Point","Minority Caucus Chair",24
"19.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Nay","Miller","Mark","D","Monona","Senator",16
"31.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Nay","Vinehout","Kathleen","D","Alma","Minority Caucus Vice-Chair",31
"34.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION","Nay","Wirch","Robert","D","Kenosha","Senator",22
"4.4","sv0005","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","ADOPTION",NA,"Darling","Alberta","R","River Hills","Senator",8
"3.5","sv0006","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 2","LAY ON TABLE","Aye","Cowles","Robert","R","Green Bay","Senator",2
"6.5","sv0006","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 2","LAY ON TABLE","Aye","Farrow","Paul","R","Pewaukee","Senator",33
"7.5","sv0006","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 2","LAY ON TABLE","Aye","Fitzgerald","Scott","R","Juneau","Majority Leader",13
"8.5","sv0006","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 2","LAY ON TABLE","Aye","Gudex","Rick","R","Fond du Lac","Senator",18
"11.5","sv0006","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 2","LAY ON TABLE","Aye","Harsdorf","Sheila","R","River Falls","Majority Caucus Chair",10
"14.5","sv0006","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 2","LAY ON TABLE","Aye","Lasee","Frank","R","De Pere","Senator",1
"16.5","sv0006","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 2","LAY ON TABLE","Aye","Lazich","Mary","R","New Berlin","Senate President",28
"17.5","sv0006","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 2","LAY ON TABLE","Aye","LeMahieu","Devin","R","Oostburg","Senator",9
"18.5","sv0006","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 2","LAY ON TABLE","Aye","Marklein","Howard","R","Spring Green","Senator",17
"20.5","sv0006","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 2","LAY ON TABLE","Aye","Moulton","Terry","R","Chippewa Falls","Senator",23
"21.5","sv0006","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 2","LAY ON TABLE","Aye","Nass","Stephen","R","Whitewater","Senator",11
"22.5","sv0006","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 2","LAY ON TABLE","Aye","Olsen","Luther","R","Ripon","Senator",14
"23.5","sv0006","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 2","LAY ON TABLE","Aye","Petrowski","Jerry","R","Marathon","Senator",29
"26.5","sv0006","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 2","LAY ON TABLE","Aye","Roth","Roger","R","Appleton","Senator",19
"30.5","sv0006","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 2","LAY ON TABLE","Aye","Tiffany","Thomas","R","Hazelhurst","Senator",12
